	cat_1	cat_2	cat_3	cat_4	cat_5	cat_6
π DPI 1	0.0002462025578542078	0.0002898272219537995	0.0004330305237890841			
π DPI 2	0.00031389626117935996	0.0007046610606416575	0.0005455163459430325			
π DPI 3	0.0004576603549882615	0.0005570925584109425	0.00078115510037261	0.000711542284517524	0.000153158769418631	
π DPI 4	0.0005773137884404915	0.000649804006816864	0.0005684542500726414	0.0007958049610290329	0.0002064002403786645	3.72698049026685e-05
π DPI 5	0.0004893933883387575	0.000512775041315273	0.00053965866590678	0.001007045348400096	0.0001490855862436461	0.0005758524167073405
π DPI 6	0.0004297941446828185	0.000720351998405639		0.0009171539563299521	0.0008544869712233615	0.0001560808678436465
π DPI 7	0.00036457936699538294	0.000540793371420642	0.000683343120213417	0.000720544554483297	0.0008760376054893894	2.5415480596577346e-05
π DPI 8	0.00021443284021586698	0.0005908486676964845	0.000457546557072508	0.000878551789854385	0.0008718400188230765	0.0007201798774821319
π DPI 9				0.00012493989651735907	0.0009648855864974794	6.951155424678725e-05
π DPI 10				0.0003714593335928403	0.0009315470321290774	1.1060646132593902e-07
mean π	0.0003866590878368934	0.0005707692408326628	0.000572672080481439	0.0006908802655905608	0.0006259302262754157	0.00022634580117721116
std π	0.00011671397979038624	0.00012763671490343334	0.00011358571883792689	0.00027861601211340205	0.0003553967767377792	0.0002733041739553321
